,metrics
highest_price,59.79314041137695
highest_price_date,2014-05-02 00:00:00
lowest_price,2.849414825439453
lowest_price_date,1998-09-03 00:00:00
total_monthly_returns,1.763426251505425
mean_monthly_returns,0.0049120508398479805
mean_monthly_sharpe,0.5686561955525574
