,metrics
highest_price,86.19999694824219
highest_price_date,2007-03-06 00:00:00
lowest_price,15.229999542236328
lowest_price_date,2010-10-19 00:00:00
total_monthly_returns,1.098804923044741
mean_monthly_returns,0.0030607379471998355
mean_monthly_sharpe,0.4854443532170417
