,metrics
highest_price,140.27999877929688
highest_price_date,2019-10-04 00:00:00
lowest_price,9.333333015441896
lowest_price_date,1990-01-26 00:00:00
total_monthly_returns,2.974004249614389
mean_monthly_returns,0.008284134400040081
mean_monthly_sharpe,0.8408063158077919
