Date,PEP,CTB,SKYW,EQT,COHR,SNFCA,NSEC,OTTR,WY,GOLD
1994-11-01,0.053873367575,15.6795974375,0.005486172203125,0.015245826269116117,0.0060892340375,0.04675396976779461,0.04673853079220429,0.025471407,11.44265335625,0.0109942400375
1994-11-02,0.0534939776625,15.92332175,0.0052384095875,0.015372349223505307,0.00619422083125,0.04675396976779461,0.04673853079220429,0.0252754731,11.630237837500001,0.010936375616249999
1994-11-03,0.05406306253125,16.3295289375,0.005486172203125,0.015372349223505307,0.00619422083125,0.04675396976779461,0.04673853079220429,0.0252754731,11.66775473375,0.0109942400375
1994-11-04,0.05368367261875,16.0045631875,0.005769329478125001,0.015372349223505307,0.00598424724375,0.04675396976779461,0.04639737570779571,0.0246876714,11.555204045,0.01082064677375
1994-11-07,0.05406306253125,16.085804625,0.0056631455,0.015309087746310712,0.00598424724375,0.04675396976779461,0.04639737570779571,0.0246876714,11.630237837500001,0.010936375616249999
1994-11-08,0.05444245244375,16.2482875,0.0057339348187500005,0.015435608927477647,0.00619422083125,0.04675396976779461,0.047762002292204286,0.0242958036,11.555204045,0.01110996888
1994-11-09,0.05406306253125,16.1670460625,0.005769329478125001,0.014992783906782246,0.0060892340375,0.04675396976779461,0.047762002292204286,0.0248836053,11.40513646,0.010878511195
1994-11-10,0.0534939776625,15.92332175,0.0057339348187500005,0.014929524202809907,0.0060892340375,0.04675396976779461,0.04673853079220429,0.0248836053,11.44265335625,0.010936375616249999
1994-11-11,0.05596001209375,15.1921488125,0.0056631455,0.01511930508794918,0.006036740640625,0.04675396976779461,0.04673853079220429,0.0244917375,11.44265335625,0.010878511195
1994-11-14,0.05633940200625,15.435873125,0.0056631455,0.015056045383976842,0.00598424724375,0.04675396976779461,0.04673853079220429,0.0242958036,11.36761956375,0.0107627823525
1994-11-15,0.0557703171375,15.1921488125,0.0056631455,0.014929524202809907,0.00619422083125,0.04748450001044261,0.049126631999999996,0.0237080019,11.44265335625,0.01070491793125
1994-11-16,0.0557703171375,14.8671830625,0.005379988225,0.01486626272561531,0.006299207625,0.04675396976779461,0.049126631999999996,0.0242958036,11.255068875000001,0.010647053509999999
1994-11-17,0.05614970705,15.27339025,0.0052738042468750005,0.014613220363281441,0.006141727434375,0.04675396976779461,0.049126631999999996,0.0242958036,11.1800350825,0.010415595825
1994-11-18,0.05558062218125,15.5171145625,0.004353543103125,0.014360177114336445,0.00598424724375,0.04675396976779461,0.049126631999999996,0.0242958036,11.06748439375,0.01024200256125
1994-11-21,0.05596001209375,14.9484245,0.0041765698062500006,0.014360177114336445,0.006141727434375,0.04675396976779461,0.047420847207795706,0.0246876714,11.10500129,0.01018413814
1994-11-22,0.0546321474,14.298493,0.00361025525625,0.014107134752002572,0.00598424724375,0.04675396976779461,0.047420847207795706,0.024099869700000002,10.767349223750001,0.009952680455
1994-11-23,0.053873367575,14.460975874999999,0.004141175146875,0.014107134752002572,0.00587926045,0.04675396976779461,0.047420847207795706,0.0237080019,10.99245060125,0.0096054939275
1994-11-25,0.05444245244375,14.8671830625,0.004141175146875,0.013980613570835639,0.0060892340375,0.04675396976779461,0.047420847207795706,0.024099869700000002,11.06748439375,0.009952680455
1994-11-28,0.0546321474,14.7047001875,0.00403499116875,0.014043874161419107,0.00619422083125,0.04675396976779461,0.047420847207795706,0.0244917375,10.954933705,0.009779087191249999
1994-11-29,0.05444245244375,14.8671830625,0.00396420185,0.013917352980252172,0.00619422083125,0.04675396976779461,0.047420847207795706,0.0246876714,11.06748439375,0.00989481603375
1994-11-30,0.0534939776625,15.1921488125,0.00403499116875,0.013664309731307174,0.00598424724375,0.04675396976779461,0.047420847207795706,0.0246876714,11.51768714875,0.00972122277
