,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.0046464996,0.00072386285,0.00038476795,0.00060985365,0.00041864123,0.00041312998,0.0008208875,0.001588621,0.0008616889,0.00030333392,0.00020910637,0.00016636788
CTB,0.0045358003,0.0012970152,0.00069759006,0.0009455026,0.00063173525,0.0005536663,0.00066583516,0.0019391837,0.0006809971,0.0002897947,0.00021056941,0.00017288869
SKYW,0.022141539,0.011975503,0.013066624,0.02827736,0.046971727,0.12360327,0.07486133,0.0654305,0.04202075,0.019641915,0.018604804,0.0194481
EQT,0.033459507,0.007157261,0.0029598845,0.0077375164,0.0042680274,0.002129446,0.010520766,0.007397651,0.0017247994,0.000738583,0.0004974246,0.00037742735
COHR,0.28544793,0.9176811,0.9488442,0.8435455,0.8610231,0.7914973,0.22436768,0.7260669,0.32568964,0.30213824,0.30299392,0.30395287
SNFCA,0.018253736,0.0036260409,0.0018661564,0.0032137353,0.0020808948,0.0014036797,0.0049585537,0.0059045986,0.0027446095,0.0008521907,0.0005860452,0.00046790435
NSEC,0.008061814,0.0034993023,0.003565496,0.0053003,0.006443349,0.010645931,0.0055266945,0.021557452,0.19783524,0.24047515,0.24776834,0.24860767
OTTR,0.021316417,0.0026533906,0.0012129091,0.0026337954,0.0015403763,0.0017508453,0.0032065706,0.003897186,0.0016082204,0.0006740313,0.000456523,0.00034730983
WY,0.59781164,0.04993894,0.025648862,0.10525529,0.0721837,0.034275316,0.6597753,0.10383311,0.03380237,0.021508504,0.017478695,0.015029598
GOLD,0.004325095,0.0014475924,0.0017535222,0.0024810706,0.0044384585,0.03372742,0.015296398,0.06238476,0.39303172,0.4133783,0.41119453,0.41142985
