,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.0025659255,0.0006986203,0.00028512967,0.00015507323,0.00010892783,8.387653e-05,6.2300576e-05,4.438418e-05,3.6209145e-05,3.0669187e-05,2.8677607e-05,2.4993342e-05
CTB,0.011916212,0.003464518,0.0015978134,0.00090076023,0.0005433132,0.0004111501,0.0003339026,0.00027082994,0.00022536168,0.00018838269,0.00017315325,0.00016040566
SKYW,0.0012876199,0.0004036598,0.0002513843,0.00014032725,0.00010233438,8.115812e-05,6.2655745e-05,5.1367908e-05,4.288639e-05,3.73802e-05,3.421642e-05,2.792208e-05
EQT,0.0010465181,0.00027738317,0.000119025004,6.6613524e-05,4.7348254e-05,3.8984974e-05,3.253754e-05,2.4410125e-05,2.000832e-05,1.681174e-05,1.5176175e-05,1.2969355e-05
COHR,0.004347761,0.0009979344,0.0005576901,0.00030323464,0.00020433341,0.00016096885,0.0001235461,9.9346515e-05,8.305542e-05,7.2241775e-05,6.6940636e-05,5.6058856e-05
SNFCA,0.97219086,0.9922666,0.99615616,0.9978841,0.9986119,0.99893624,0.999171,0.9993568,0.9994673,0.9995479,0.9995819,0.99963176
NSEC,0.0006955827,0.0002461769,0.0001296816,6.9076326e-05,4.6258974e-05,3.5888897e-05,2.6916594e-05,2.0997937e-05,1.7604518e-05,1.536001e-05,1.4315337e-05,1.2043775e-05
OTTR,0.0018621292,0.0005725796,0.00032992326,0.00016845133,0.00014104028,9.991724e-05,6.7380264e-05,4.456529e-05,3.582079e-05,3.1396397e-05,2.9246428e-05,2.3724138e-05
WY,0.003257357,0.000840353,0.00044935697,0.00025094385,0.00015461743,0.00012111174,9.7054966e-05,6.988634e-05,5.688371e-05,4.6838304e-05,4.3937514e-05,3.976836e-05
GOLD,0.0008301647,0.00023214765,0.00012384671,6.145979e-05,3.9809067e-05,3.0674953e-05,2.2810638e-05,1.7465154e-05,1.479984e-05,1.3018328e-05,1.2387213e-05,1.0274232e-05
