,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.0003590619,7.723073e-05,4.3718745e-05,3.493494e-05,2.6808508e-05,2.100336e-05,1.7090251e-05,1.43508105e-05,1.22281945e-05,1.0592097e-05,9.274275e-06,8.484358e-06
CTB,0.0022533005,0.00043557803,0.00025409434,0.00019971623,0.0001539572,0.00012204198,9.886331e-05,8.2547704e-05,6.9737136e-05,5.9483038e-05,5.1017323e-05,4.5873003e-05
SKYW,0.00050912064,0.00011779942,6.611792e-05,5.17337e-05,3.915945e-05,3.0227882e-05,2.4687442e-05,2.095855e-05,1.8002638e-05,1.5781185e-05,1.3884944e-05,1.2650207e-05
EQT,0.000465338,0.00010458539,6.417371e-05,4.999214e-05,3.8191993e-05,3.0296686e-05,2.4104198e-05,1.9883923e-05,1.6621289e-05,1.3999714e-05,1.1640693e-05,1.0431709e-05
COHR,0.0006720694,0.00014861746,8.3857136e-05,6.571305e-05,4.87173e-05,3.6641795e-05,2.8638915e-05,2.3767141e-05,1.9474257e-05,1.6214464e-05,1.3973321e-05,1.2574658e-05
SNFCA,0.99268085,0.99843496,0.9991062,0.9993067,0.9994797,0.9995977,0.9996804,0.99973553,0.99977905,0.999813,0.999841,0.9998567
NSEC,0.0025129342,0.0005528482,0.00030847683,0.00023443799,0.00017133122,0.00013020237,0.00010131807,8.221098e-05,6.791229e-05,5.6824647e-05,4.7307396e-05,4.249078e-05
OTTR,0.000239217,6.1542305e-05,3.597132e-05,2.7703943e-05,2.0676081e-05,1.5820035e-05,1.23004465e-05,1.0189348e-05,8.307573e-06,6.8393065e-06,5.701332e-06,5.054495e-06
WY,0.00016438054,3.5331064e-05,1.9744275e-05,1.526564e-05,1.0964763e-05,8.039943e-06,6.183921e-06,5.0779468e-06,4.13341e-06,3.42569e-06,2.9033288e-06,2.612941e-06
GOLD,0.0001438213,3.14232e-05,1.7642067e-05,1.3849032e-05,1.0457672e-05,8.05494e-06,6.4795563e-06,5.411068e-06,4.549614e-06,3.891096e-06,3.4168459e-06,3.103116e-06
