Date,PEP,CTB,SKYW,EQT,COHR,SNFCA,NSEC,OTTR,WY,GOLD
1990-01-02,1.0708333015441898,0.8,0.11458333730697633,0.37198331356048575,0.7312500000000001,0.09843425750732422,0.8472222328186035,1.2125000000000001,2.8375000000000004,0.7875000000000001
1990-01-03,1.0604166984558103,0.846875,0.11666666269302368,0.35950825214385984,0.68125,0.10546528100967408,0.8472222328186035,1.2125000000000001,2.7750000000000004,0.7625000000000001
1990-01-04,1.05,0.83125,0.11666666269302368,0.3583741664886475,0.675,0.10194976329803469,0.8472222328186035,1.1875,2.75,0.8
1990-01-05,1.0354166984558104,0.83125,0.1125,0.3583741664886475,0.625,0.10546528100967408,0.8472222328186035,1.1875,2.7375000000000003,0.8500000000000001
1990-01-08,1.0541666984558105,0.83125,0.11666666269302368,0.3561059713363648,0.625,0.09843425750732422,0.8472222328186035,1.1875,2.7375000000000003,0.83125
1990-01-09,1.0395833015441898,0.828125,0.11666666269302368,0.35156958103179936,0.625,0.10194976329803469,0.8472222328186035,1.2000000000000002,2.6875,0.8562500000000001
1990-01-10,1.0125,0.821875,0.1125,0.3481673002243042,0.625,0.10546528100967408,0.8472222328186035,1.1875,2.7125000000000004,0.8625
1990-01-11,1.0041666984558104,0.828125,0.11666666269302368,0.3538377761840821,0.61875,0.10546528100967408,0.8472222328186035,1.1875,2.7,0.8812500000000001
1990-01-12,0.9791666984558104,0.8093750000000001,0.11041666269302369,0.34930138587951665,0.61875,0.10546528100967408,0.8472222328186035,1.1875,2.625,0.875
1990-01-15,0.9604166984558105,0.8031250000000001,0.10833333730697632,0.3447650194168091,0.6125,0.10194976329803469,0.8472222328186035,1.1875,2.575,0.8812500000000001
1990-01-16,0.9958333015441897,0.796875,0.10833333730697632,0.3504354953765869,0.6125,0.10194976329803469,0.8472222328186035,1.19375,2.5875000000000004,0.89375
1990-01-17,0.9958333015441897,0.796875,0.10833333730697632,0.35270369052886963,0.6125,0.10194976329803469,0.8472222328186035,1.2125000000000001,2.5250000000000004,0.89375
1990-01-18,0.9875,0.7875000000000001,0.11041666269302369,0.35156958103179936,0.6125,0.10546528100967408,0.8472222328186035,1.1875,2.5625,0.86875
1990-01-19,1.0,0.765625,0.10416666269302369,0.35270369052886963,0.61875,0.10546528100967408,0.8472222328186035,1.2125000000000001,2.5625,0.8500000000000001
1990-01-22,0.9770833015441897,0.75,0.10416666269302369,0.35156958103179936,0.6000000000000001,0.10546528100967408,0.8472222328186035,1.2000000000000002,2.475,0.83125
1990-01-23,0.9770833015441897,0.7312500000000001,0.10416666269302369,0.3447650194168091,0.59375,0.09140323996543885,0.875,1.1875,2.4125,0.8500000000000001
1990-01-24,0.9729166984558104,0.7250000000000001,0.10833333730697632,0.34022862911224366,0.6125,0.09140323996543885,0.875,1.2000000000000002,2.4250000000000003,0.8500000000000001
1990-01-25,0.9541666984558104,0.734375,0.10833333730697632,0.3458991050720215,0.6000000000000001,0.09140323996543885,0.861111068725586,1.1875,2.475,0.86875
1990-01-26,0.9333333015441897,0.7468750000000001,0.10625000000000001,0.34136273860931404,0.59375,0.09140323996543885,0.861111068725586,1.1875,2.45,0.8625
1990-01-29,0.9416666984558104,0.74375,0.10625000000000001,0.34249682426452643,0.525,0.10194976329803469,0.861111068725586,1.2000000000000002,2.4000000000000004,0.8812500000000001
1990-01-30,0.9375,0.753125,0.1,0.34249682426452643,0.5125000000000001,0.10194976329803469,0.861111068725586,1.1875,2.3875,0.89375
1990-01-31,0.9583333015441897,0.7781250000000001,0.1,0.34249682426452643,0.50625,0.10194976329803469,0.861111068725586,1.1875,2.4375,0.8500000000000001
1990-02-01,0.9708333015441897,0.7875000000000001,0.1,0.3436309099197388,0.5125000000000001,0.10194976329803469,0.875,1.1875,2.45,0.875
1990-02-02,0.9791666984558104,0.80625,0.1,0.34249682426452643,0.50625,0.09140323996543885,0.875,1.1875,2.5,0.875
1990-02-05,0.9729166984558104,0.828125,0.09791666865348816,0.3436309099197388,0.49375,0.08788772821426392,0.875,1.2125000000000001,2.4875000000000003,0.925
1990-02-06,0.9895833015441897,0.8375,0.10416666269302369,0.34249682426452643,0.50625,0.10194976329803469,0.875,1.2000000000000002,2.45,0.95625
1990-02-07,0.9916666984558105,0.8406250000000001,0.10416666269302369,0.3436309099197388,0.48750000000000004,0.08788772821426392,0.875,1.2000000000000002,2.4625000000000004,0.925
1990-02-08,1.0,0.8375,0.09583333134651184,0.35270369052886963,0.48750000000000004,0.08788772821426392,0.875,1.2125000000000001,2.4125,0.9375
1990-02-09,1.0041666984558104,0.84375,0.1,0.35156958103179936,0.48750000000000004,0.08788772821426392,0.875,1.2125000000000001,2.4000000000000004,0.925
1990-02-12,1.0020833015441897,0.84375,0.1,0.3504354953765869,0.48750000000000004,0.08788772821426392,0.875,1.2125000000000001,2.3625000000000003,0.9500000000000001
1990-02-13,0.9791666984558104,0.8562500000000001,0.09375,0.34930138587951665,0.48125,0.09843425750732422,0.875,1.225,2.375,0.9437500000000001
1990-02-14,0.9812500000000001,0.8406250000000001,0.09583333134651184,0.34930138587951665,0.48125,0.09843425750732422,0.875,1.2125000000000001,2.4000000000000004,0.93125
1990-02-15,0.9895833015441897,0.846875,0.09375,0.3504354953765869,0.47500000000000003,0.08788772821426392,0.875,1.2125000000000001,2.4375,0.9187500000000001
1990-02-16,0.9833333015441896,0.846875,0.10208333730697633,0.3470332145690918,0.49375,0.08788772821426392,0.875,1.2125000000000001,2.4250000000000003,0.90625
