,Q1,Q2,Q3,Q4
PEP,0.06507197,0.21544412,0.32813355,0.020070605
CTB,0.0034071917,0.002068242,0.0022124378,0.0011762423
SKYW,0.0030113042,0.0013461555,0.0012648335,0.0007453079
EQT,0.01065398,0.013500015,0.22669382,0.8749994
COHR,0.54062593,0.36449286,0.18554594,0.021717072
SNFCA,0.033484776,0.010620838,0.007766491,0.002619981
NSEC,0.0039507025,0.002591134,0.0055217687,0.016254976
OTTR,0.0042089312,0.0035726835,0.010797618,0.046583638
WY,0.09266699,0.012727515,0.007579934,0.0014640846
GOLD,0.24291815,0.37363642,0.22448362,0.014368756
