,Q1,Q2,Q3,Q4
PEP,0.11717291,0.7597693,0.58098054,0.14489494
CTB,0.0056543737,0.004660331,0.018794455,0.3773647
SKYW,0.003521314,0.0020795304,0.004424014,0.013254825
EQT,0.16970542,0.011815661,0.0071855867,0.004785738
COHR,0.07344934,0.011321431,0.007326136,0.00508889
SNFCA,0.013483064,0.0014145062,0.0010342603,0.0006626801
NSEC,0.42297822,0.18486974,0.35953408,0.22677808
OTTR,0.18543024,0.021058742,0.0145503,0.006632883
WY,0.003968633,0.0018517895,0.005184654,0.21957941
GOLD,0.0046363957,0.001158855,0.0009859818,0.0009579187
