,Q1,Q2,Q3,Q4
PEP,0.35369843,0.37628093,0.0012708842,0.0013535975
CTB,0.034152705,0.019622244,0.0009146061,0.00087523524
SKYW,0.020305933,0.026743103,0.00067099935,0.00048415537
EQT,0.007753994,0.002902728,0.00036056252,0.00048229913
COHR,0.043846752,0.056724455,0.000334493,0.00026398414
SNFCA,0.006276702,0.0051330803,0.0003586687,0.0004890043
NSEC,0.059755474,0.046521347,0.8580699,0.7513166
OTTR,0.28662965,0.27661675,0.13549802,0.2401959
WY,0.008078891,0.0034397203,0.0008757071,0.002852911
GOLD,0.17950144,0.18601559,0.0016461166,0.001686201
