,Q1,Q2,Q3,Q4
PEP,0.8583108,0.8854806,0.92761016,0.89686817
CTB,0.002228756,0.00051086454,0.0003618037,0.0003417915
SKYW,0.010442748,0.0034563614,0.0019580636,0.0015624914
EQT,0.025845833,0.005405331,0.01086884,0.0461143
COHR,0.0017453397,0.00047264557,0.00027645956,0.00022242706
SNFCA,0.0020545435,0.0008217501,0.0006910286,0.00066553924
NSEC,0.08475701,0.09895858,0.050210062,0.016581105
OTTR,0.0051733647,0.0011365876,0.0010576484,0.00115392
WY,0.008213078,0.0034170854,0.0065681594,0.03569697
GOLD,0.0012285961,0.0003402032,0.00039784724,0.0007933397
