,Q1,Q2,Q3,Q4
PEP,0.052839328,0.57373786,0.60863954,0.14157876
CTB,0.0034810435,0.0031422023,0.010462089,0.18858075
SKYW,0.001959103,0.0009831208,0.00069780863,0.0012883255
EQT,0.67998797,0.13426358,0.12006514,0.06979245
COHR,0.0020305181,0.0012621027,0.00088302046,0.0014138401
SNFCA,0.008802341,0.008790818,0.014886005,0.020461576
NSEC,0.026241899,0.23415636,0.21682772,0.1389479
OTTR,0.2179625,0.038897272,0.01912528,0.010560921
WY,0.002056183,0.002887784,0.006354256,0.4227727
GOLD,0.00463905,0.0018789269,0.0020591402,0.004602794
