,Q1,Q2,Q3,Q4
PEP,0.00094057753,0.00020070566,8.350337e-05,2.7067372e-05
CTB,0.011550015,0.0023818424,0.00069097814,0.00024876048
SKYW,0.03102938,0.0017809115,0.0005110557,0.00023562617
EQT,0.0039689173,0.0020367336,0.0020222499,0.00035402286
COHR,0.0028692314,0.0010009859,0.000436518,0.0002916351
SNFCA,0.15652965,0.31319183,0.2947444,0.979471
NSEC,0.7871339,0.6780568,0.7007924,0.019225288
OTTR,0.0017672996,0.0006415376,0.00041324671,6.275954e-05
WY,0.0038830363,0.00048360214,0.00020208463,6.102985e-05
GOLD,0.00032795896,0.00022504479,0.00010363095,2.275713e-05
