,Q1,Q2,Q3,Q4
PEP,0.0047056885,0.00095172285,0.00029533866,0.000201605
CTB,0.6812318,0.6358451,0.5762857,0.25549933
SKYW,0.024866503,0.031144114,0.012452983,0.0014189818
EQT,0.0065794135,0.0017980251,0.00053406367,0.00039140502
COHR,0.0037736392,0.0012332839,0.00042785378,0.0002780536
SNFCA,0.0020098973,0.0008517474,0.00033512514,0.00016375168
NSEC,0.009460483,0.08973378,0.2070002,0.7063442
OTTR,0.0034347042,0.0012135698,0.00040112517,0.0003079006
WY,0.0040396247,0.0012035557,0.0003730245,0.00022395502
GOLD,0.25989822,0.2360251,0.20189457,0.03517089
