,Q1,Q2,Q3,Q4
PEP,0.00072155945,0.0032445865,0.0191766,0.009172341
CTB,0.0008558791,0.0040745432,0.055438742,0.22199285
SKYW,0.00017713182,0.0010114445,0.020897623,0.30653185
EQT,0.018341413,0.37833047,0.430919,0.07473628
COHR,0.00190919,0.02180788,0.16364327,0.025052948
SNFCA,0.97234046,0.57147354,0.079049446,0.038945757
NSEC,0.0010253183,0.0018526305,0.0012460571,0.00030176467
OTTR,0.0025816143,0.0053102644,0.0027948006,0.0010643787
WY,0.0016244705,0.009157469,0.057672653,0.008327009
GOLD,0.0004228966,0.0037371789,0.16916174,0.31387496
