,Q1,Q2,Q3,Q4
PEP,0.0054379245,0.001747521,0.00088518095,0.00048536682
CTB,0.0031029927,0.0011578389,0.0005893743,0.00041523305
SKYW,0.15547581,0.18190971,0.18354745,0.18190074
EQT,0.7035402,0.65320617,0.6504766,0.65490854
COHR,0.053524133,0.050519336,0.05019861,0.049666733
SNFCA,0.011064631,0.0045797913,0.0029008565,0.0016675028
NSEC,0.026726417,0.068040684,0.07323873,0.071367845
OTTR,0.031193009,0.03435267,0.036130678,0.038119502
WY,0.0019041192,0.00044944254,0.00025087362,0.00013551771
GOLD,0.008030793,0.0040368536,0.0017815783,0.0013330631
