,Q1,Q2,Q3,Q4
PEP,0.0033357122,0.008662811,0.055076476,0.0075869616
CTB,0.0031809835,0.0069929445,0.0644974,0.021207675
SKYW,0.00082373706,0.00068809313,0.0005222377,0.00028936955
EQT,0.00088912883,0.0018291764,0.031656627,0.004769503
COHR,0.014638616,0.0028472147,0.0013182238,0.0011418083
SNFCA,0.0038152218,0.041901704,0.8095842,0.9374658
NSEC,0.013395576,0.011509779,0.0034289483,0.0020837765
OTTR,0.008867705,0.008469153,0.004865475,0.0016777007
WY,0.9500286,0.9164515,0.028478548,0.023496486
GOLD,0.0010247448,0.00064761465,0.00057192316,0.00028086058
