,Q1,Q2,Q3,Q4
PEP,0.36139038,0.49634078,0.4819813,0.46471995
CTB,0.012163111,0.0024570369,0.0016944001,0.0011896256
SKYW,0.20047109,0.18427204,0.19494683,0.1894668
EQT,0.013653452,0.0010016629,0.0004997329,0.00031039145
COHR,0.100827515,0.0084611075,0.0039935424,0.0026315462
SNFCA,0.011966252,0.008688277,0.016556837,0.049654275
NSEC,0.019745847,0.0026012114,0.0014692557,0.00095128856
OTTR,0.020945981,0.010012251,0.007114684,0.005558618
WY,0.1181067,0.009276911,0.0048272507,0.0029950882
GOLD,0.14072962,0.2768888,0.28691623,0.2825224
