,Q1,Q2,Q3,Q4
PEP,0.016448226,0.010095449,0.0035230278,0.0016362163
CTB,0.57300884,0.043048058,0.009478223,0.005160167
SKYW,0.01626616,0.037399996,0.04799473,0.030973744
EQT,0.15039478,0.030701904,0.010428144,0.0036549368
COHR,0.13390097,0.407326,0.041606057,0.01571343
SNFCA,0.0093432665,0.08374512,0.7110552,0.7138352
NSEC,0.051021405,0.3721055,0.17024174,0.22632506
OTTR,0.015038571,0.0041283905,0.0016767249,0.0006173426
WY,0.014838824,0.006415527,0.0025145968,0.0012599181
GOLD,0.019738993,0.005034013,0.0014815062,0.0008239174
