,Q1,Q2,Q3,Q4
PEP,0.02497085,0.0017873927,0.00086391374,0.0005548535
CTB,0.010438795,0.00056692085,0.00033105057,0.00022131873
SKYW,0.097814254,0.0029939832,0.001241281,0.0008455969
EQT,0.17652005,0.06512031,0.074232385,0.10925464
COHR,0.007021089,0.0007192323,0.0015623725,0.0026077323
SNFCA,0.010667119,0.0051943767,0.010583812,0.028360087
NSEC,0.22796974,0.016915921,0.006488103,0.003766581
OTTR,0.30381176,0.0061732186,0.002911387,0.0018320812
WY,0.08060983,0.39466938,0.39209178,0.37019643
GOLD,0.060176443,0.5058593,0.50969386,0.4823606
