,Q1,Q2,Q3,Q4
PEP,0.12005279,0.09099401,0.076957755,0.09499752
CTB,0.03936295,0.014968526,0.0048562065,0.0030782188
SKYW,0.016156131,0.017623119,0.012474208,0.025633646
EQT,0.017268784,0.008230013,0.0036262379,0.004712244
COHR,0.40591982,0.7280798,0.84807307,0.81712145
SNFCA,0.0308488,0.010628567,0.004809825,0.0055979835
NSEC,0.013261735,0.005119553,0.0019376915,0.002786462
OTTR,0.035067942,0.013813653,0.009384435,0.019565146
WY,0.22796199,0.085091606,0.029656718,0.01898173
GOLD,0.0940991,0.02545113,0.008223812,0.0075256117
