,Q1,Q2,Q3,Q4
PEP,0.0003025505,0.00014405507,0.000107242326,8.725642e-05
CTB,0.00033261804,0.000268525,0.00037793085,0.0006994187
SKYW,0.00032131874,0.00014907728,0.00010657472,8.601028e-05
EQT,0.00028279747,0.0001377587,9.753524e-05,7.8038596e-05
COHR,0.0006592517,0.00033738685,0.00025387245,0.00021423839
SNFCA,0.99529475,0.99769574,0.99816906,0.99812514
NSEC,0.00085279875,0.000360998,0.00024697097,0.00018537763
OTTR,0.0010091794,0.00045453612,0.00031384005,0.00024711443
WY,0.00012838581,6.434074e-05,4.727051e-05,4.144306e-05
GOLD,0.00081637624,0.0003875077,0.00027970056,0.00023591002
