,Q1,Q2,Q3,Q4
PEP,0.31049374,0.27694663,0.27897844,0.27897245
CTB,0.06443584,0.04944584,0.050515812,0.050927904
SKYW,0.07075412,0.074377455,0.07489853,0.07445069
EQT,0.017554093,0.021261053,0.021588478,0.022997083
COHR,0.1021651,0.11248037,0.11249722,0.11266195
SNFCA,0.0041807606,0.0018351426,0.00093224074,0.0005873356
NSEC,0.04915367,0.06283708,0.064056635,0.06411279
OTTR,0.15358135,0.19053689,0.18586352,0.18548265
WY,0.015275052,0.006801806,0.0036085641,0.0024273861
GOLD,0.21240626,0.2034777,0.20706055,0.20737973
