,Q1,Q2,Q3,Q4
PEP,0.012371984,0.013876557,0.008174108,0.049714107
CTB,0.010951397,0.002835313,0.00023054371,0.00017046282
SKYW,0.01525796,0.0047622034,0.00024638546,0.00022083292
EQT,0.07384164,0.48464763,0.98105717,0.94337857
COHR,0.26769727,0.39572313,0.006830703,0.0039526555
SNFCA,0.009036444,0.0031435385,0.00023834562,0.00019082922
NSEC,0.067061715,0.017077005,0.0004430392,0.00035249814
OTTR,0.0137500325,0.004252029,0.00045992513,0.0004276863
WY,0.52063817,0.07081992,0.0021082717,0.0014407409
GOLD,0.00939331,0.0028625885,0.00021143998,0.00015155436
