,Q1,Q2,Q3,Q4
PEP,0.008525726,0.0016140591,0.0009065651,0.00037890286
CTB,0.0018711084,0.0003533226,0.00016681122,7.259646e-05
SKYW,0.0015752955,0.0009057747,0.00042992615,0.0001448366
EQT,0.060017865,0.54824835,0.5418652,0.5094222
COHR,0.83783925,0.17095336,0.19300948,0.21378344
SNFCA,0.004035311,0.005447195,0.023888197,0.053252578
NSEC,0.0049629873,0.0022855317,0.0011744754,0.00051844836
OTTR,0.068089895,0.26301774,0.23448712,0.2210412
WY,0.008467591,0.00315634,0.0017819994,0.0005508201
GOLD,0.0046149585,0.00401837,0.0022901979,0.0008349472
