,Q1,Q2,Q3,Q4
PEP,0.009900432,0.003606258,0.00054510596,0.006029917
CTB,0.0064754025,0.0023484728,0.00082481455,0.005271049
SKYW,0.29706722,0.2996809,0.93303305,0.39891285
EQT,0.0025207596,0.0011455573,0.0013597414,0.005196059
COHR,0.012605729,0.007077356,0.0010305552,0.008418688
SNFCA,0.005332495,0.0024177746,0.00047169926,0.0018027881
NSEC,0.011750183,0.004321674,0.0031370344,0.009964227
OTTR,0.41939706,0.42047355,0.015289167,0.11742713
WY,0.2327549,0.25815275,0.04394694,0.44531396
GOLD,0.002195797,0.0007757473,0.00036185829,0.0016632772
