,Q1,Q2,Q3,Q4
PEP,0.012127286,0.0043828683,0.0016615498,0.0008994163
CTB,0.009841025,0.0015186376,0.0007485989,0.00036490924
SKYW,0.42360482,0.033718888,0.016519697,0.00614735
EQT,0.024224434,0.064284645,0.1972788,0.19223139
COHR,0.010187367,0.0022349814,0.0011482841,0.00055609894
SNFCA,0.28697243,0.05892872,0.037922278,0.024895322
NSEC,0.017663041,0.0116855875,0.041814685,0.05620875
OTTR,0.17076814,0.63788337,0.5045363,0.4861139
WY,0.041492477,0.18340908,0.19448201,0.20854722
GOLD,0.0031189222,0.0019531657,0.0038878175,0.024035702
