,Q1,Q2,Q3,Q4
PEP,0.018762384,0.02051845,0.023836657,0.02610182
CTB,0.113608636,0.70612085,0.68717694,0.5810614
SKYW,0.006526673,0.0029000372,0.0022889695,0.0036112503
EQT,0.74705255,0.21556064,0.21686041,0.19684061
COHR,0.0031652867,0.001861092,0.0014497889,0.0011729086
SNFCA,0.0076930807,0.013830742,0.024436852,0.08617516
NSEC,0.014313878,0.01447617,0.026194049,0.087495506
OTTR,0.04404527,0.01032433,0.006735477,0.0052369367
WY,0.02920221,0.0066618877,0.005077874,0.0075738486
GOLD,0.015629949,0.0077459062,0.005942933,0.004730474
