,Q1,Q2,Q3,Q4
PEP,0.0024604406,0.005745089,0.0061727786,0.0032638228
CTB,0.00207858,0.05402209,0.09795907,0.07507722
SKYW,0.00076456554,0.0018164365,0.0016887367,0.00053003983
EQT,0.0012967669,0.014379417,0.61225694,0.51811343
COHR,0.9222443,0.4248418,0.09379021,0.06792659
SNFCA,0.031080792,0.061762437,0.04806304,0.024766192
NSEC,0.0049639144,0.032516904,0.05844938,0.1659827
OTTR,0.001940522,0.002629195,0.0010871002,0.00047212388
WY,0.03156809,0.3629323,0.065082684,0.13810185
GOLD,0.0016020029,0.039354395,0.015450089,0.005766068
