,Q1,Q2,Q3,Q4
PEP,0.0027368173,0.0045102807,0.003845452,0.0015295751
CTB,0.0034578964,0.018070366,0.73519486,0.5096017
SKYW,0.0009344693,0.0036830415,0.039789975,0.31255555
EQT,0.03143969,0.028061984,0.0030234107,0.0019943027
COHR,0.008199379,0.08448656,0.028689617,0.010388198
SNFCA,0.035870697,0.16616522,0.044230327,0.0648283
NSEC,0.001546854,0.0028820504,0.0011763526,0.0015851377
OTTR,0.9083593,0.6505827,0.019866236,0.00837034
WY,0.005267448,0.037938062,0.12338314,0.08831005
GOLD,0.0021875575,0.0036197116,0.0008006913,0.0008368002
