,Q1,Q2,Q3,Q4
PEP,0.079395354,0.004971127,0.0016860262,0.0015106126
CTB,0.17451598,0.58159953,0.60089576,0.5752842
SKYW,0.03354012,0.0013251972,0.00040263802,0.00042109506
EQT,0.07174024,0.0019161684,0.00064499356,0.00041380996
COHR,0.065202355,0.0061012516,0.0018944455,0.0019256534
SNFCA,0.0040036445,0.0019864636,0.0032374049,0.015686931
NSEC,0.22218484,0.012400385,0.0050938227,0.0032906258
OTTR,0.20516245,0.0071300087,0.002831517,0.0012388469
WY,0.010215383,0.002652827,0.0030986215,0.03044208
GOLD,0.13403958,0.37991717,0.38021466,0.3697861
