,Q1,Q2,Q3,Q4
PEP,0.018056575,0.0022481955,0.0034276438,0.000993463
CTB,0.003014164,0.0013849059,0.0016683365,0.00031481657
SKYW,0.0009760491,0.0004538072,0.0012575275,0.00029491956
EQT,0.0022719419,0.0006814714,0.0008671475,0.00025168902
COHR,0.02568411,0.36596945,0.27179205,0.036128823
SNFCA,0.0010847871,0.00040466513,0.0006395921,9.98641e-05
NSEC,0.94429946,0.6241924,0.18455653,0.13579732
OTTR,0.0012637014,0.00071321626,0.0012858286,0.00036184888
WY,0.0012182592,0.00059012446,0.00076432724,0.00013586387
GOLD,0.002130871,0.0033617048,0.53374094,0.8256215
