,Q1,Q2,Q3,Q4
PEP,0.08187564,0.0047350936,0.001579645,0.0009239166
CTB,0.27860633,0.01982391,0.009141447,0.0050380505
SKYW,0.0067401933,0.0053533125,0.0017432186,0.0009534203
EQT,0.3095467,0.014780045,0.002480537,0.001448818
COHR,0.010382135,0.004534391,0.0007881581,0.0004448636
SNFCA,0.019647278,0.8025077,0.9575382,0.9763983
NSEC,0.0058157304,0.011187873,0.0028438815,0.0015529214
OTTR,0.0075984313,0.0074147447,0.0023813038,0.001267927
WY,0.06818424,0.06792058,0.010404466,0.005420678
GOLD,0.21160339,0.061742328,0.01109907,0.006550956
