,Q1,Q2,Q3,Q4
PEP,0.10156192,0.01837908,0.0075361063,0.004914737
CTB,0.012406386,0.0037433987,0.0017493896,0.0011584928
SKYW,0.02513666,0.111479394,0.10786024,0.10980504
EQT,0.038170315,0.11333226,0.14530063,0.14949106
COHR,0.2777238,0.0666622,0.036245093,0.027225439
SNFCA,0.007538093,0.0037361104,0.0026972871,0.00211693
NSEC,0.09149907,0.10826177,0.118019044,0.12022413
OTTR,0.120563276,0.4142255,0.42585176,0.43198407
WY,0.017458411,0.0067866594,0.003943568,0.0027843255
GOLD,0.30794203,0.15339357,0.15079682,0.15029572
