,Q1,Q2,Q3,Q4
PEP,0.108184606,0.017785914,0.00074979087,0.0003444595
CTB,0.0039658523,0.0022941262,0.00012489676,6.701965e-05
SKYW,0.027365537,0.8662956,0.98851144,0.98450065
EQT,0.00790406,0.00794735,0.0011511702,0.00061349967
COHR,0.24447952,0.019403294,0.0017122005,0.0007594901
SNFCA,0.013395071,0.010737885,0.0044725817,0.011749765
NSEC,0.07230838,0.004920397,0.00022363997,0.00011140734
OTTR,0.26909748,0.04710825,0.0016876507,0.0012171593
WY,0.1969095,0.013881226,0.0008328102,0.00038199523
GOLD,0.05639,0.009625891,0.00053377193,0.00025466154
