,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.082867086,0.32473606,0.31323907,0.3287514,0.0829634,0.35503468,0.32501492,0.32662433,0.32768977,0.3283167,0.077095374,0.37607706
CTB,0.060755033,0.17522743,0.16362695,0.16100398,0.11311044,0.16887876,0.16113958,0.16069004,0.16075179,0.1608327,0.07956657,0.17323846
SKYW,0.04390372,0.079766445,0.074002415,0.07465807,0.027591163,0.0700279,0.075005434,0.074846454,0.0749576,0.07506162,0.0350438,0.076463476
EQT,0.02713323,0.06820816,0.0344932,0.018872388,0.017554555,0.047891393,0.0211073,0.019324869,0.019025272,0.019012053,0.018342137,0.057237875
COHR,0.15557557,0.0430278,0.0163326,0.009042513,0.012644705,0.010307444,0.0075676804,0.0056812763,0.004503462,0.0036875634,0.0034162218,0.0033854842
SNFCA,0.26401737,0.12748434,0.15369442,0.16129236,0.36401734,0.14147136,0.16063793,0.16260147,0.16321695,0.16349594,0.390751,0.13204035
NSEC,0.014039084,0.021377178,0.087246835,0.088271864,0.018160174,0.061299417,0.0883701,0.08931956,0.08926695,0.08922954,0.017665561,0.044445697
OTTR,0.09126336,0.02964118,0.008806384,0.0040571727,0.0037526512,0.004416742,0.003356548,0.0025685958,0.0020613112,0.0017001928,0.0016367937,0.0015582675
WY,0.010871063,0.00813443,0.0041251257,0.0029938247,0.0024941883,0.0031826284,0.0026274475,0.002179231,0.0018569146,0.0016074412,0.00079215714,0.0007557686
GOLD,0.24957445,0.12239691,0.14443299,0.15105642,0.35771134,0.1374897,0.15517297,0.15616414,0.15667,0.15705632,0.37569037,0.13479753
