,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.07753443,0.27602306,0.18991002,0.17942081,0.42985326,0.8253122,0.6219959,0.548179,0.23897153,0.10120779,0.082564026,0.07521165
CTB,0.051028185,0.0231631,0.04216313,0.08548378,0.016015,0.0024828042,0.0013306837,0.0011521738,0.0008435588,0.00062025094,0.0004994029,0.00032104595
SKYW,0.06346493,0.19397219,0.09946048,0.058071658,0.04633962,0.07594157,0.30962068,0.28989422,0.1793326,0.15466838,0.15388021,0.75847715
EQT,0.007817428,0.004316716,0.0029580197,0.0020819283,0.0009977935,0.00017421193,0.000102052116,9.9798104e-05,6.832842e-05,4.601599e-05,3.518402e-05,2.165299e-05
COHR,0.011348573,0.014724227,0.011704949,0.0059268414,0.0023014673,0.0020221018,0.0059879576,0.06701047,0.14660592,0.18528986,0.18866104,0.07697166
SNFCA,0.21727188,0.06189618,0.07321407,0.11861999,0.0125743,0.0023223541,0.0014861225,0.0016411878,0.0012199349,0.0008726161,0.0006873879,0.00043692798
NSEC,0.06228126,0.21436305,0.21070278,0.17853862,0.45615473,0.08263529,0.051114485,0.06322975,0.061907325,0.08352373,0.084973514,0.0474041
OTTR,0.010587217,0.009621407,0.0061618807,0.004094461,0.0021392328,0.0017373501,0.004020134,0.02509934,0.36828765,0.47176015,0.4870997,0.040100455
WY,0.47359285,0.19336064,0.35114428,0.3531562,0.03163529,0.0070241303,0.0041240924,0.0034948606,0.002595986,0.0018812717,0.0014917721,0.0009853092
GOLD,0.025073243,0.008559415,0.012580387,0.014605685,0.0019893053,0.00034790457,0.00021799559,0.0001991888,0.0001671691,0.00012988254,0.000107728,6.995005e-05
