,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.033147443,0.06674229,0.26934722,0.613686,0.6476069,0.6643596,0.7856289,0.6551573,0.7492221,0.663047,0.66605985,0.73408145
CTB,0.015268356,0.01596262,0.018855434,0.06841781,0.06223587,0.06146401,0.032603495,0.06351604,0.037361473,0.061927974,0.06185209,0.03706574
SKYW,0.017885817,0.008643121,0.0066481335,0.0054103313,0.03914755,0.045399137,0.018700838,0.04665234,0.020117993,0.04554365,0.04570622,0.021777993
EQT,0.018341957,0.011276218,0.0073538492,0.0035693415,0.0032580819,0.0024539381,0.0019359875,0.0022762157,0.0016748066,0.0017714526,0.0015200847,0.0011881248
COHR,0.29207206,0.49772823,0.13650617,0.02057294,0.010061348,0.0077552744,0.007297313,0.009281036,0.008756428,0.008859042,0.007879924,0.008067972
SNFCA,0.057066146,0.03150472,0.020437956,0.009003569,0.0028940572,0.001571145,0.0012551852,0.0014156371,0.0011750447,0.0010921569,0.0007999718,0.00068741123
NSEC,0.007474345,0.010277685,0.019127818,0.15495801,0.137037,0.13717784,0.055245277,0.14296134,0.090922035,0.14120035,0.13774881,0.09310063
OTTR,0.014471581,0.013923322,0.011448156,0.0034344932,0.0015329819,0.0009907457,0.0010076064,0.0010383448,0.000758519,0.00069902366,0.00056557124,0.00044683015
WY,0.06910835,0.15326047,0.43735287,0.0967914,0.0892826,0.07457229,0.092661254,0.073407315,0.08616341,0.07224881,0.07517082,0.101125516
GOLD,0.475164,0.1906814,0.07292235,0.024156047,0.006943674,0.004255897,0.003664072,0.004294449,0.0038482181,0.0036106147,0.0026966948,0.0024582094
