,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.0026360515,0.0026291644,0.0066592935,0.4809852,0.52102464,0.5460413,0.0072940155,0.007219643,0.003932349,0.0056426534,0.007544795,0.004175443
CTB,0.01619629,0.03657804,0.010718184,0.004853946,0.0009119425,0.00041951847,8.4367755e-05,7.3364e-05,4.3503187e-05,5.457017e-05,5.481378e-05,3.2166045e-05
SKYW,0.105280295,0.025459537,0.0040104166,0.0025735684,0.0016275771,0.0011777036,0.00027227128,0.00026556556,0.00018627387,0.00022295279,0.00019974736,0.0001382684
EQT,0.00316868,0.0012483636,0.000507035,0.00045018605,0.0003592328,0.00026304208,7.125179e-05,6.4955566e-05,3.6801084e-05,4.3150078e-05,4.157377e-05,2.422169e-05
COHR,0.0016301792,0.0015263811,0.0010421786,0.006986653,0.10044006,0.104748204,0.11921476,0.38531286,0.087830685,0.3746328,0.35588568,0.08796522
SNFCA,0.7770122,0.0131707005,0.0020291838,0.0014629939,0.0010441323,0.00086543144,0.00044498642,0.0006139597,0.00057947665,0.000705589,0.0005760025,0.0004952601
NSEC,0.013357676,0.0045977756,0.004201562,0.0033653306,0.008541996,0.021063108,0.001542427,0.0018381616,0.0008551495,0.001074857,0.0010780393,0.00055251183
OTTR,0.024367848,0.143013,0.5772137,0.2876935,0.21308954,0.20749864,0.8192761,0.4091449,0.83101165,0.28454706,0.32734752,0.8392027
WY,0.051942814,0.7714353,0.39347598,0.2115446,0.15291846,0.11789521,0.051790014,0.19545671,0.07551726,0.33306822,0.30726463,0.06740945
GOLD,0.0044079027,0.00034169626,0.00014242507,8.394251e-05,4.246355e-05,2.779867e-05,9.83881e-06,9.816648e-06,6.925819e-06,8.089448e-06,7.117862e-06,4.8566376e-06
